"position","Kill_sum","Death_sum","Assist_sum","Kill_mean","Death_mean","Assist_mean","KDA"
"Sup",1415,3871,10592,1.43509127789047,3.92596348884381,10.7423935091278,3.10178248514596
"ADC",5085,3326,6166,5.15720081135903,3.37322515212982,6.25354969574037,3.38274203247144
"Mid",4451,3349,6548,4.51419878296146,3.39655172413793,6.64097363083164,3.28426395939086
"Jung",3784,3811,8012,3.83772819472617,3.86511156186613,8.12576064908722,3.09525059039622
"Top",3523,3951,6111,3.57302231237322,4.00709939148073,6.19776876267748,2.43837003290306
"All",18258,18308,37429,3.70344827586207,3.71359026369168,7.5920892494929,3.04167577015512
