Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role,win_perc_rnd,playerbase
Camille,Sunwoojung,Top,1,1,17,5,0.6667,1106.61,6.16,73,1.07,4,1504,33,10,3.3,1,0.03030303,0.0303,Camille - Top,100,Broad
Camille,Niles,Top,4,0.75,16.25,2.08,0.4302,482.28,6.85,70,0.96,7,721,33,10,3.3,0.75,0.121212121,0.1212,Camille - Top,75,Broad
Camille,PieCakeLord,Top,3,0.6667,16.67,3.71,0.7059,551.66,8.07,71,0.88,7,1036,33,10,3.3,0.6667,0.090909091,0.0909,Camille - Top,66.67,Broad
Camille,Eastan,Top,8,0.375,14.63,1.5,0.4566,475.36,6.52,59.75,0.78,1.63,-1720,33,10,3.3,0.375,0.242424242,0.2424,Camille - Top,37.5,Medium
Camille,Tony Top,Top,3,0.3333,17,1.8,0.5548,563.95,7.51,73.67,0.62,0,194.33,33,10,3.3,0.3333,0.090909091,0.0909,Camille - Top,33.33,Broad
Camille,Gible,Top,3,0.3333,15.67,3.44,0.699,462.09,6.71,64.67,1.14,5,-269,33,10,3.3,0.3333,0.090909091,0.0909,Camille - Top,33.33,Broad
Camille,Dinka,Top,3,0.3333,14.33,2.15,0.4618,481.23,6.7,59.33,0.83,2.67,448.33,33,10,3.3,0.3333,0.090909091,0.0909,Camille - Top,33.33,Broad
Camille,Aetheres,Top,6,0.3333,16.67,2.07,0.5611,682.64,7.95,73.5,0.82,5.5,264.5,33,10,3.3,0.3333,0.181818182,0.1818,Camille - Top,33.33,Broad
Camille,Srrty,Top,1,0,16,0.67,0.5455,506.34,6.57,52,0.67,0,-1028,33,10,3.3,0,0.03030303,0.0303,Camille - Top,0,Broad
Cassiopeia,Tenacity,Top,1,1,14,3,0.1765,341.59,8.76,79,0.81,9,798,1,1,1,1,1,1,Cassiopeia - Top,100,Narrow
ChoGath,Brown Man Darius,Top,1,1,14,2,0.3636,465.34,5.24,53,0.7,0,-1626,1,1,1,1,1,1,ChoGath - Top,100,Narrow
Darius,Dragoon,Top,6,0.8333,15.67,4.13,0.5082,498.42,7.4,66.17,0.64,2.83,371.17,11,2,5.5,0.8333,0.545454545,0.5455,Darius - Top,83.33,Medium
Darius,Brown Man Darius,Top,5,0.4,17,3.35,0.5496,436.44,7.78,73,0.9,2.6,18.8,11,2,5.5,0.4,0.454545455,0.4545,Darius - Top,40,Medium
Dr. Mundo,T21 Kedeck,Top,2,1,15.5,2.71,0.5717,634.52,7.45,83.5,0.62,2,875.5,2,1,2,1,1,1,Dr. Mundo - Top,100,Narrow
Fiddlesticks,InchesEvan,Top,1,1,14,3,0.5217,349.52,4.43,61,0.98,0,-502,2,2,1,1,0.5,0.5,Fiddlesticks - Top,100,Medium
Fiddlesticks,Brown Man Darius,Top,1,0,14,1,0.7778,368.52,6.05,69,1.49,0,17,2,2,1,0,0.5,0.5,Fiddlesticks - Top,0,Medium
Fiora,Tony Top,Top,1,1,14,5,0.4688,517.39,6.5,62,0.59,4,323,9,6,1.5,1,0.111111111,0.1111,Fiora - Top,100,Broad
Fiora,Niles,Top,1,1,18,1.67,0.4167,555.92,8.54,67,0.97,8,194,9,6,1.5,1,0.111111111,0.1111,Fiora - Top,100,Broad
Fiora,Lawrence,Top,1,1,18,3.57,0.7143,957.43,7.89,77,0.71,6,1204,9,6,1.5,1,0.111111111,0.1111,Fiora - Top,100,Broad
Fiora,Brown Man Darius,Top,1,1,15,5,0.4167,594.34,6.94,61,0.94,0,1295,9,6,1.5,1,0.111111111,0.1111,Fiora - Top,100,Broad
Fiora,Eastan,Top,4,0.75,15.75,2.33,0.5061,564.05,6.62,59.75,0.82,5,-738.5,9,6,1.5,0.75,0.444444444,0.4444,Fiora - Top,75,Medium
Fiora,PieCakeLord,Top,1,0,17,1.5,0.5294,476.29,8.3,61,1.29,7,910,9,6,1.5,0,0.111111111,0.1111,Fiora - Top,0,Broad
Gangplank,T21 Kedeck,Top,1,1,16,1.75,0.4118,623.19,7.69,82,0.96,0,1717,77,18,4.277777778,1,0.012987013,0.013,Gangplank - Top,100,Broad
Gangplank,Rodov,Top,1,1,14,4.5,0.5294,655.95,7.4,77,0.57,0,-241,77,18,4.277777778,1,0.012987013,0.013,Gangplank - Top,100,Broad
Gangplank,PieCakeLord,Top,3,1,15,10,0.6977,643.84,7.97,80,0.75,0.33,625,77,18,4.277777778,1,0.038961039,0.039,Gangplank - Top,100,Broad
Gangplank,Eastan,Top,1,1,15,3.75,0.4167,676.4,6.84,66,0.69,0,2636,77,18,4.277777778,1,0.012987013,0.013,Gangplank - Top,100,Broad
Gangplank,Brown Man Darius,Top,2,1,17,7,0.6239,622.13,6.67,55,1.04,2,-1036,77,18,4.277777778,1,0.025974026,0.026,Gangplank - Top,100,Broad
Gangplank,Niles,Top,21,0.7619,15.9,3.18,0.5675,656.98,7.79,76.24,0.85,3.19,521,77,18,4.277777778,0.7619,0.272727273,0.2727,Gangplank - Top,76.19,Medium
Gangplank,Tenacity,Top,4,0.75,16.75,2.69,0.4729,694.24,8.01,70.25,0.74,9,537.5,77,18,4.277777778,0.75,0.051948052,0.0519,Gangplank - Top,75,Broad
Gangplank,Lawrence,Top,3,0.6667,16,3.8,0.574,701.87,7.94,62.33,0.71,0,-733.33,77,18,4.277777778,0.6667,0.038961039,0.039,Gangplank - Top,66.67,Broad
Gangplank,Gible,Top,4,0.5,16,3.06,0.595,638.02,6.72,61.25,0.86,1,-732,77,18,4.277777778,0.5,0.051948052,0.0519,Gangplank - Top,50,Broad
Gangplank,FallenBandit,Top,2,0.5,15.5,1.27,0.3321,450.68,6.98,59.5,0.79,0,-1236.5,77,18,4.277777778,0.5,0.025974026,0.026,Gangplank - Top,50,Broad
Gangplank,Engo,Top,2,0.5,16.5,2.55,0.5917,484.54,6.98,57,1.14,0,-1526.5,77,18,4.277777778,0.5,0.025974026,0.026,Gangplank - Top,50,Broad
Gangplank,Dragoon,Top,6,0.5,15.67,4.57,0.5595,598.67,7.16,62.33,0.72,1.67,151.67,77,18,4.277777778,0.5,0.077922078,0.0779,Gangplank - Top,50,Broad
Gangplank,Quas,Top,14,0.3571,15.07,2.58,0.5971,678.33,7.35,71.71,0.51,1,284.43,77,18,4.277777778,0.3571,0.181818182,0.1818,Gangplank - Top,35.71,Broad
Gangplank,Aetheres,Top,6,0.3333,15.83,2.26,0.6042,714.37,7.21,61,0.99,3.5,209.83,77,18,4.277777778,0.3333,0.077922078,0.0779,Gangplank - Top,33.33,Broad
Gangplank,Mateusz,Top,1,0,14,0.6,0.3333,516.99,7.57,87,0.65,0,-1629,77,18,4.277777778,0,0.012987013,0.013,Gangplank - Top,0,Broad
Gangplank,InchesEvan,Top,1,0,16,1.29,0.75,557.21,5.93,51,0.84,1,-906,77,18,4.277777778,0,0.012987013,0.013,Gangplank - Top,0,Broad
Gangplank,Dinka,Top,3,0,15.33,0.87,0.6071,461.67,8.27,66,0.65,0,-192,77,18,4.277777778,0,0.038961039,0.039,Gangplank - Top,0,Broad
Gangplank,A 5,Top,2,0,14,1.18,0.5192,680,6.28,54.5,0.56,0,-217.5,77,18,4.277777778,0,0.025974026,0.026,Gangplank - Top,0,Broad
Gnar,Quas,Top,8,0.875,14.75,6.13,0.5222,651.16,7.76,84,0.68,6.75,1306.75,19,5,3.8,0.875,0.421052632,0.4211,Gnar - Top,87.5,Medium
Gnar,InchesEvan,Top,2,0.5,12.5,2,0.3958,409.38,6.43,57,0.98,2,-1644,19,5,3.8,0.5,0.105263158,0.1053,Gnar - Top,50,Broad
Gnar,Engo,Top,6,0.5,15.67,2.5,0.4742,506.5,7.71,77,1.02,1.33,651.17,19,5,3.8,0.5,0.315789474,0.3158,Gnar - Top,50,Medium
Gnar,Aetheres,Top,2,0.5,17,2.11,0.4615,560.14,7.2,72.5,0.98,5,-961,19,5,3.8,0.5,0.105263158,0.1053,Gnar - Top,50,Broad
