"playerID","Kill","Death","Assist","KDA"
"TheRealPhilip",3.85714285714286,3.6,7.51428571428571,3.15873015873016
"TiaxWillRuleAll",7.02222222222222,3,6.46666666666667,4.4962962962963
"Tony Top",2.89655172413793,3.3448275862069,5.56896551724138,2.53092783505155
"Topopotamus",1.25,2.875,6.5,2.69565217391304
"UgandanRoyalty",1.57692307692308,4.3974358974359,13.6666666666667,3.466472303207
"Value",5.13888888888889,2.38888888888889,7.29166666666667,5.20348837209302
"Vex",5.60714285714286,3.85714285714286,5.10714285714286,2.77777777777778
"Vilas",3,5.625,5.5,1.51111111111111
"Winter",1.21951219512195,3.65853658536585,12.3414634146341,3.70666666666667
"Wispe",1.42307692307692,3.80769230769231,8.84615384615385,2.6969696969697
"Wixxi",5.3,2.84,5.2,3.69718309859155
"Wolfe",3.875,2.61111111111111,7.13888888888889,4.21808510638298
"XQC ALPHA SNIPER",3.11111111111111,4.55555555555556,3.88888888888889,1.53658536585366
"Yeon",4.61538461538461,3.05128205128205,8.94871794871795,4.4453781512605
"Yeonbee",4.97058823529412,3.55882352941176,7.55882352941176,3.52066115702479
"Young",4.32894736842105,3.26315789473684,6.19736842105263,3.2258064516129
"Zile",3.28846153846154,4.71153846153846,7.88461538461539,2.37142857142857
