"playerID","Kill","Death","Assist","KDA"
"5Fire",5.46341463414634,4,7.65853658536585,3.28048780487805
"A 5",3.6551724137931,5.24137931034483,4.68965517241379,1.59210526315789
"Abou222",0.666666666666667,9.33333333333333,19.3333333333333,2.14285714285714
"Acilion",4.30434782608696,2.8695652173913,6.34782608695652,3.71212121212121
"Aetheres",4.175,4.875,6.65,2.22051282051282
"AlwaysPlanAhea",4.32786885245902,2.70491803278689,7.26229508196721,4.28484848484848
"Andybendy",4.94736842105263,3.90789473684211,6.03947368421053,2.81144781144781
"Aspeçt",2.5,3.5,4.25,1.92857142857143
"Asta",7.66666666666667,2.75,5.83333333333333,4.90909090909091
"Auto",2,3.43589743589744,11.4871794871795,3.92537313432836
"Avi",4.13157894736842,3.75,7.32894736842105,3.05614035087719
"Axsthetic",1.5,3.83333333333333,7,2.21739130434783
"Batmun",4.33333333333333,5.77777777777778,5.33333333333333,1.67307692307692
"BEACHDAYEVERYDAY",3.22222222222222,3.77777777777778,5.88888888888889,2.41176470588235
"Body These Fools",3.68965517241379,4.58620689655172,4.37931034482759,1.7593984962406
"BootySlapper",3.13793103448276,5.41379310344828,6.79310344827586,1.8343949044586
"Brown Man Darius",3.94444444444444,4.02777777777778,6,2.46896551724138
"Busioc",5.63157894736842,3.14473684210526,6.80263157894737,3.95397489539749
"Cao",1.52941176470588,4.64705882352941,10.6176470588235,2.61392405063291
"Chookies",1,4.80645161290323,8.38709677419355,1.95302013422819
"CJ",1.8,4.4,6,1.77272727272727
"CJSphinx",1.75,5.75,3.125,0.847826086956522
"Clyde",1.1,3.93333333333333,9.56666666666667,2.71186440677966
"CommandAttack",3.75,3.05,7.25,3.60655737704918
"Copy",5.61538461538461,2.8974358974359,7.79487179487179,4.6283185840708
"CptShrimps",3.56,2.78,7.64,4.02877697841727
"DanielRMC",3.86206896551724,4.58620689655172,4.93103448275862,1.91729323308271
"Daption",2.3,5.03333333333333,11.1333333333333,2.66887417218543
"DeadlyTwitches",5.33333333333333,5.66666666666667,6.33333333333333,2.05882352941176
"Dean",1.25423728813559,3.03389830508475,12.8135593220339,4.63687150837989
"Descraton",4.125,2.375,5,3.84210526315789
"Dinka",3.4,3.78,5.76,2.42328042328042
"Disconnector",5.53333333333333,4.53333333333333,6.26666666666667,2.60294117647059
"Dog",1.125,3.625,9.5,2.93103448275862
"Dog2",3.55769230769231,3.65384615384615,5.51923076923077,2.48421052631579
"Dragonminkim",2.5,4.66666666666667,9.16666666666667,2.5
"Dragoon",3.875,3.2,7.05,3.4140625
"Dziarmaga",5.16666666666667,4,6.73333333333333,2.975
"Eastan",3.03333333333333,5.33333333333333,6.46666666666667,1.78125
"Eclipse",4.32258064516129,4.19354838709677,7.09677419354839,2.72307692307692
"Engo",3.46052631578947,3.61842105263158,6.21052631578947,2.67272727272727
"Enigma",3.8,3.43333333333333,5.7,2.76699029126214
"EvanRL",4.11475409836066,2.57377049180328,6.27868852459016,4.03821656050955
"eXyu",4.25,3.125,7.625,3.8
"FallenBandit",3.75,3.625,10.625,3.96551724137931
"Fizzi",2,3.8,10.6,3.31578947368421
"FrostForest",3.4,4.8,6.4,2.04166666666667
"Gabex",2,4.5,8,2.22222222222222
"Gible",2.75,3.98076923076923,5.73076923076923,2.1304347826087
"Gweiss",1.6,6.6,8.4,1.51515151515152
"HighKeySavage",4.78181818181818,3.36363636363636,7.09090909090909,3.52972972972973
"Hunter",3.45714285714286,3.47142857142857,10.8714285714286,4.12757201646091
"Hyami",3.68965517241379,2.87931034482759,8.20689655172414,4.13173652694611
"Iconic",4.61111111111111,2.33333333333333,8.01388888888889,5.41071428571429
"InchesEvan",2.56756756756757,4.7027027027027,5,1.60919540229885
"Infectrix",3.29508196721311,4.78688524590164,8.24590163934426,2.41095890410959
"IvanJYang",3.75,4.25,4,1.82352941176471
"Jason Jg",2.83333333333333,4.43333333333333,8.63333333333333,2.58646616541353
"Joeyy",1.825,3.275,10.975,3.90839694656489
"JohnathanForLong",1.875,5.875,8.375,1.74468085106383
"Jozyy",3.32,3.82,8.14,3
"Julien",1.1375,4.3625,11.3,2.85100286532951
"Kékvin",0.75,5,2.5,0.65
