as,Group,Kill_sum,Death_sum,Assist_sum,Kill_mean,Death_mean,Assist_mean,KDA,order
APA Total,Always Plan Ahea,264,165,443,4.327868852,2.704918033,7.262295082,4.284848485,1
A-Sol,Always Plan Ahea,73,31,106,4.866666667,2.066666667,7.066666667,5.774193548,2
Non A-Sol Champs,Always Plan Ahea,191,134,337,4.152173913,2.913043478,7.326086957,3.940298507,3
Overall Mid Avg,SGC,4451,3349,6548,4.514198783,3.396551724,6.640973631,3.284263959,4
