Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Ashe,Acilion,ADC,9,0.3333,13.44,3.14,0.6724,392.22,7.07,70.67,1.05,0.89,-23.11,79,17,4.647058824,0.3333,0.113924051,0.1139,Ashe - ADC
Ashe,Meech,ADC,13,0.3077,13.69,2.62,0.658,527.22,7.9,72.92,0.79,3.31,-107.23,79,17,4.647058824,0.3077,0.164556962,0.1646,Ashe - ADC
Ashe,Wixxi,ADC,1,0,13,1.8,0.5625,303.43,7.48,57,0.87,0,-1411,79,17,4.647058824,0,0.012658228,0.0127,Ashe - ADC
Ashe,Spider Queen,ADC,1,0,12,6,0.8571,313.14,8.51,80,1.38,0,-439,79,17,4.647058824,0,0.012658228,0.0127,Ashe - ADC
Ashe,Seangravesgod,ADC,1,0,14,2.67,0.7273,532.71,7.91,76,0.78,0,-446,79,17,4.647058824,0,0.012658228,0.0127,Ashe - ADC
Ashe,Dog2,ADC,3,0,11.33,1.6,0.7329,409.91,7.98,80,0.88,0,741.67,79,17,4.647058824,0,0.037974684,0.038,Ashe - ADC
Ashe,DanielRMC,ADC,1,0,14,3.33,0.7143,497.43,8.98,70,0.71,0,-879,79,17,4.647058824,0,0.012658228,0.0127,Ashe - ADC
Brand,DanielRMC,ADC,1,0,11,0.4,0.2857,351.31,6.46,76,0.88,4,842,1,1,1,0,1,1,Brand - ADC
Caitlyn,Value,ADC,1,1,13,13,0.619,520.52,9.83,88,0.82,1,1200,4,4,1,1,0.25,0.25,Caitlyn - ADC
Caitlyn,Spider Queen,ADC,1,0,11,0,0,217.56,7.9,79,0.72,0,-157,4,4,1,0,0.25,0.25,Caitlyn - ADC
Caitlyn,Spawn,ADC,1,0,15,2.5,0.4545,540.29,6.94,69,1.12,0,-1014,4,4,1,0,0.25,0.25,Caitlyn - ADC
Caitlyn,Lobozz,ADC,1,0,10,0.33,0.2857,408.06,6.03,89,0.48,0,-1067,4,4,1,0,0.25,0.25,Caitlyn - ADC
Cassiopeia,Rapidx,ADC,1,1,15,4,0.6897,342.7,7.85,83,1,0,273,2,2,1,1,0.5,0.5,Cassiopeia - ADC
Cassiopeia,Acilion,ADC,1,0,14,0.33,0.25,302.41,8.69,61,0.75,0,-1426,2,2,1,0,0.5,0.5,Cassiopeia - ADC
Corki,Andybendy,ADC,2,0.5,14,2.38,0.5449,583.39,7.18,71,0.94,6,-481,2,1,2,0.5,1,1,Corki - ADC
Draven,Wixxi,ADC,2,1,16.5,10,0.6024,705.2,8.41,74.5,0.99,7.5,173.5,8,4,2,1,0.25,0.25,Draven - ADC
Draven,Value,ADC,1,1,17,5,0.6818,571.72,8.53,82,1.05,1,-267,8,4,2,1,0.125,0.125,Draven - ADC
Draven,Spawn,ADC,3,0.6667,13.33,3.07,0.542,781.8,7.36,72.67,0.88,2.67,984.33,8,4,2,0.6667,0.375,0.375,Draven - ADC
Draven,Dog2,ADC,2,0.5,15,3,0.4846,583.7,9,86.5,1,8,-89.5,8,4,2,0.5,0.25,0.25,Draven - ADC
Ezreal,Shoryu,ADC,9,0.8889,14.11,5.8,0.5725,741.02,8.18,81.22,1.08,3.11,607.11,207,24,8.625,0.8889,0.043478261,0.0435,Ezreal - ADC
Ezreal,Value,ADC,19,0.8421,15.21,6.97,0.5579,709.58,9.13,85.21,0.83,3.21,307.11,207,24,8.625,0.8421,0.09178744,0.0918,Ezreal - ADC
