as,Group,Kill_sum,Death_sum,Assist_sum,Kill_mean,Death_mean,Assist_mean,KDA,order
Dean Total,Dean,74,179,756,1.254237288,3.033898305,12.81355932,4.636871508,1
Sona,Dean,37,73,370,1.423076923,2.807692308,14.23076923,5.575342466,2
Non Sona Champs,Dean,37,106,386,1.121212121,3.212121212,11.6969697,3.990566038,3
Overall Sup Avg,SGC,1415,3871,10592,1.435091278,3.925963489,10.74239351,3.101782485,4
