as,Group,Kill_sum,Death_sum,Assist_sum,Kill_mean,Death_mean,Assist_mean,KDA,order
Hunter Total,Hunter,242,243,761,3.457142857,3.471428571,10.87142857,4.127572016,1
Nunu,Hunter,28,29,147,2.8,2.9,14.7,6.034482759,2
Non Nunu Champs,Hunter,214,214,614,3.566666667,3.566666667,10.23333333,3.869158879,3
Overall Jung Avg,SGC,3784,3811,8012,3.837728195,3.865111562,8.125760649,3.09525059,4
