Champion,player,position,games,Win_perc,Champion_Level,KDA,KPAR,DPM,CSPM,CS_at_10,Vision_Score_PM,Enemy_JG_CS,Lane_dif_10,games_total,unique_players,avg_game,wr_round,pick_prop,pick_prop_round,champ_role
Aatrox,Srrty,Top,1,0,14,1.11,0.5263,548.22,4.68,36,1.01,4,-1295,78,18,4.333333333,0,0.012820513,0.0128,Aatrox - Top
Aatrox,Quas,Top,1,0,12,0.4,0.4,337.93,7.01,75,0.43,0,-844,78,18,4.333333333,0,0.012820513,0.0128,Aatrox - Top
Aatrox,CJ,Top,1,0,17,0.67,0.6667,282.6,6.57,50,0.98,0,-2278,78,18,4.333333333,0,0.012820513,0.0128,Aatrox - Top
Aatrox,A 5,Top,2,0,11.5,0.69,0.5786,296.04,5.99,51.5,0.76,0,-1498.5,78,18,4.333333333,0,0.025641026,0.0256,Aatrox - Top
Akali,InchesEvan,Top,1,1,17,1.13,0.3462,421.88,5.89,64,0.45,0,-1940,11,4,2.75,1,0.090909091,0.0909,Akali - Top
Akali,Aetheres,Top,5,0.6,15,2.24,0.5882,623.27,6.68,66.2,0.67,0.2,274,11,4,2.75,0.6,0.454545455,0.4545,Akali - Top
Akali,Sunwoojung,Top,4,0.25,15.5,1.79,0.4247,434.78,5.82,55.25,0.88,0.5,-981.5,11,4,2.75,0.25,0.363636364,0.3636,Akali - Top
Akali,Lawrence,Top,1,0,12,1.2,0.2857,328.64,4.38,37,0.69,0,-2636,11,4,2.75,0,0.090909091,0.0909,Akali - Top
Camille,T21 Kedeck,Top,1,1,15,4.5,0.4737,623.21,6.56,78,0.98,5,2908,33,10,3.3,1,0.03030303,0.0303,Camille - Top
Camille,Sunwoojung,Top,1,1,17,5,0.6667,1106.61,6.16,73,1.07,4,1504,33,10,3.3,1,0.03030303,0.0303,Camille - Top
Camille,Niles,Top,4,0.75,16.25,2.08,0.4302,482.28,6.85,70,0.96,7,721,33,10,3.3,0.75,0.121212121,0.1212,Camille - Top
Camille,PieCakeLord,Top,3,0.6667,16.67,3.71,0.7059,551.66,8.07,71,0.88,7,1036,33,10,3.3,0.6667,0.090909091,0.0909,Camille - Top
Camille,Eastan,Top,8,0.375,14.63,1.5,0.4566,475.36,6.52,59.75,0.78,1.63,-1720,33,10,3.3,0.375,0.242424242,0.2424,Camille - Top
Camille,Tony Top,Top,3,0.3333,17,1.8,0.5548,563.95,7.51,73.67,0.62,0,194.33,33,10,3.3,0.3333,0.090909091,0.0909,Camille - Top
Camille,Gible,Top,3,0.3333,15.67,3.44,0.699,462.09,6.71,64.67,1.14,5,-269,33,10,3.3,0.3333,0.090909091,0.0909,Camille - Top
Camille,Dinka,Top,3,0.3333,14.33,2.15,0.4618,481.23,6.7,59.33,0.83,2.67,448.33,33,10,3.3,0.3333,0.090909091,0.0909,Camille - Top
Camille,Aetheres,Top,6,0.3333,16.67,2.07,0.5611,682.64,7.95,73.5,0.82,5.5,264.5,33,10,3.3,0.3333,0.181818182,0.1818,Camille - Top
Camille,Srrty,Top,1,0,16,0.67,0.5455,506.34,6.57,52,0.67,0,-1028,33,10,3.3,0,0.03030303,0.0303,Camille - Top
Cassiopeia,Tenacity,Top,1,1,14,3,0.1765,341.59,8.76,79,0.81,9,798,1,1,1,1,1,1,Cassiopeia - Top
ChoGath,Brown Man Darius,Top,1,1,14,2,0.3636,465.34,5.24,53,0.7,0,-1626,1,1,1,1,1,1,ChoGath - Top
Darius,Dragoon,Top,6,0.8333,15.67,4.13,0.5082,498.42,7.4,66.17,0.64,2.83,371.17,11,2,5.5,0.8333,0.545454545,0.5455,Darius - Top
Darius,Brown Man Darius,Top,5,0.4,17,3.35,0.5496,436.44,7.78,73,0.9,2.6,18.8,11,2,5.5,0.4,0.454545455,0.4545,Darius - Top
Dr. Mundo,T21 Kedeck,Top,2,1,15.5,2.71,0.5717,634.52,7.45,83.5,0.62,2,875.5,2,1,2,1,1,1,Dr. Mundo - Top
Fiddlesticks,InchesEvan,Top,1,1,14,3,0.5217,349.52,4.43,61,0.98,0,-502,2,2,1,1,0.5,0.5,Fiddlesticks - Top
Fiddlesticks,Brown Man Darius,Top,1,0,14,1,0.7778,368.52,6.05,69,1.49,0,17,2,2,1,0,0.5,0.5,Fiddlesticks - Top
Fiora,Tony Top,Top,1,1,14,5,0.4688,517.39,6.5,62,0.59,4,323,9,6,1.5,1,0.111111111,0.1111,Fiora - Top
Fiora,Niles,Top,1,1,18,1.67,0.4167,555.92,8.54,67,0.97,8,194,9,6,1.5,1,0.111111111,0.1111,Fiora - Top
Fiora,Lawrence,Top,1,1,18,3.57,0.7143,957.43,7.89,77,0.71,6,1204,9,6,1.5,1,0.111111111,0.1111,Fiora - Top
Fiora,Brown Man Darius,Top,1,1,15,5,0.4167,594.34,6.94,61,0.94,0,1295,9,6,1.5,1,0.111111111,0.1111,Fiora - Top
Fiora,Eastan,Top,4,0.75,15.75,2.33,0.5061,564.05,6.62,59.75,0.82,5,-738.5,9,6,1.5,0.75,0.444444444,0.4444,Fiora - Top
Fiora,PieCakeLord,Top,1,0,17,1.5,0.5294,476.29,8.3,61,1.29,7,910,9,6,1.5,0,0.111111111,0.1111,Fiora - Top
Gangplank,T21 Kedeck,Top,1,1,16,1.75,0.4118,623.19,7.69,82,0.96,0,1717,77,18,4.277777778,1,0.012987013,0.013,Gangplank - Top
